sway_coef,nfe_steps,sentence_id,transcript,output_wav,wer,sim_o
-0.4,8,ab02,Scientists have discovered a new species of deep-sea fish.,results\baseline\2_sway_sampling\audio\ab02_s-0.4_nfe08.wav,,
-0.4,8,ab03,Flow matching with diffusion transformers achieves excellent results.,results\baseline\2_sway_sampling\audio\ab03_s-0.4_nfe08.wav,,
-0.4,16,ab01,The cat sat on the mat and looked out the window.,results\baseline\2_sway_sampling\audio\ab01_s-0.4_nfe16.wav,,
-0.4,16,ab02,Scientists have discovered a new species of deep-sea fish.,results\baseline\2_sway_sampling\audio\ab02_s-0.4_nfe16.wav,,
-0.4,16,ab03,Flow matching with diffusion transformers achieves excellent results.,results\baseline\2_sway_sampling\audio\ab03_s-0.4_nfe16.wav,,
-0.4,32,ab01,The cat sat on the mat and looked out the window.,results\baseline\2_sway_sampling\audio\ab01_s-0.4_nfe32.wav,,
-0.4,32,ab02,Scientists have discovered a new species of deep-sea fish.,results\baseline\2_sway_sampling\audio\ab02_s-0.4_nfe32.wav,,
-0.4,32,ab03,Flow matching with diffusion transformers achieves excellent results.,results\baseline\2_sway_sampling\audio\ab03_s-0.4_nfe32.wav,,
-0.8,8,ab01,The cat sat on the mat and looked out the window.,results\baseline\2_sway_sampling\audio\ab01_s-0.8_nfe08.wav,,
-0.8,8,ab02,Scientists have discovered a new species of deep-sea fish.,results\baseline\2_sway_sampling\audio\ab02_s-0.8_nfe08.wav,,
-0.8,8,ab03,Flow matching with diffusion transformers achieves excellent results.,results\baseline\2_sway_sampling\audio\ab03_s-0.8_nfe08.wav,,
-0.8,16,ab01,The cat sat on the mat and looked out the window.,results\baseline\2_sway_sampling\audio\ab01_s-0.8_nfe16.wav,,
-0.8,16,ab02,Scientists have discovered a new species of deep-sea fish.,results\baseline\2_sway_sampling\audio\ab02_s-0.8_nfe16.wav,,
-0.8,16,ab03,Flow matching with diffusion transformers achieves excellent results.,results\baseline\2_sway_sampling\audio\ab03_s-0.8_nfe16.wav,,
-0.8,32,ab01,The cat sat on the mat and looked out the window.,results\baseline\2_sway_sampling\audio\ab01_s-0.8_nfe32.wav,,
-0.8,32,ab02,Scientists have discovered a new species of deep-sea fish.,results\baseline\2_sway_sampling\audio\ab02_s-0.8_nfe32.wav,,
-0.8,32,ab03,Flow matching with diffusion transformers achieves excellent results.,results\baseline\2_sway_sampling\audio\ab03_s-0.8_nfe32.wav,,
-1.0,8,ab01,The cat sat on the mat and looked out the window.,results\baseline\2_sway_sampling\audio\ab01_s-1.0_nfe08.wav,,
-1.0,8,ab02,Scientists have discovered a new species of deep-sea fish.,results\baseline\2_sway_sampling\audio\ab02_s-1.0_nfe08.wav,,
-1.0,8,ab03,Flow matching with diffusion transformers achieves excellent results.,results\baseline\2_sway_sampling\audio\ab03_s-1.0_nfe08.wav,,
-1.0,16,ab01,The cat sat on the mat and looked out the window.,results\baseline\2_sway_sampling\audio\ab01_s-1.0_nfe16.wav,,
-1.0,16,ab02,Scientists have discovered a new species of deep-sea fish.,results\baseline\2_sway_sampling\audio\ab02_s-1.0_nfe16.wav,,
-1.0,16,ab03,Flow matching with diffusion transformers achieves excellent results.,results\baseline\2_sway_sampling\audio\ab03_s-1.0_nfe16.wav,,
-1.0,32,ab01,The cat sat on the mat and looked out the window.,results\baseline\2_sway_sampling\audio\ab01_s-1.0_nfe32.wav,,
-1.0,32,ab02,Scientists have discovered a new species of deep-sea fish.,results\baseline\2_sway_sampling\audio\ab02_s-1.0_nfe32.wav,,
-1.0,32,ab03,Flow matching with diffusion transformers achieves excellent results.,results\baseline\2_sway_sampling\audio\ab03_s-1.0_nfe32.wav,,
