sway_coef,nfe_steps,sentence_id,transcript,output_wav,wer,sim_o
0.0,8,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s+0.0_nfe08.wav,87.5,0.6888
0.0,16,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s+0.0_nfe16.wav,0.0,0.8171
0.0,16,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s+0.0_nfe16.wav,11.11,0.8523
0.0,16,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s+0.0_nfe16.wav,0.0,0.8382
0.0,32,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s+0.0_nfe32.wav,0.0,0.8144
0.0,32,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s+0.0_nfe32.wav,11.11,0.8549
0.0,32,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s+0.0_nfe32.wav,0.0,0.8382
-0.4,8,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s-0.4_nfe08.wav,63.64,0.8065
-0.4,8,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s-0.4_nfe08.wav,100.0,0.7362
-0.4,8,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s-0.4_nfe08.wav,100.0,0.8023
-0.4,16,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s-0.4_nfe16.wav,0.0,0.8087
-0.4,16,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s-0.4_nfe16.wav,11.11,0.7892
-0.4,16,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s-0.4_nfe16.wav,12.5,0.8415
-0.4,32,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s-0.4_nfe32.wav,0.0,0.8072
-0.4,32,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s-0.4_nfe32.wav,11.11,0.7904
-0.4,32,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s-0.4_nfe32.wav,12.5,0.8432
-0.8,8,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s-0.8_nfe08.wav,45.45,0.8467
-0.8,8,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s-0.8_nfe08.wav,88.89,0.7812
-0.8,8,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s-0.8_nfe08.wav,37.5,0.8452
-0.8,16,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s-0.8_nfe16.wav,0.0,0.8044
-0.8,16,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s-0.8_nfe16.wav,11.11,0.7417
-0.8,16,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s-0.8_nfe16.wav,0.0,0.8
-0.8,32,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s-0.8_nfe32.wav,0.0,0.8047
-0.8,32,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s-0.8_nfe32.wav,0.0,0.7455
-0.8,32,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s-0.8_nfe32.wav,0.0,0.8031
-1.0,8,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s-1.0_nfe08.wav,27.27,0.8499
-1.0,8,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s-1.0_nfe08.wav,22.22,0.8017
-1.0,8,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s-1.0_nfe08.wav,12.5,0.8398
-1.0,16,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s-1.0_nfe16.wav,0.0,0.8106
-1.0,16,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s-1.0_nfe16.wav,11.11,0.835
-1.0,16,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s-1.0_nfe16.wav,0.0,0.7635
-1.0,32,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s-1.0_nfe32.wav,0.0,0.806
-1.0,32,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s-1.0_nfe32.wav,22.22,0.8328
-1.0,32,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s-1.0_nfe32.wav,0.0,0.7674
